ID,x,y,Smax,DSmax,Kσ,Dσmax,Aσ,Hf,Kw,Bf,Af,ODI,ODI_pred,ODI_diff
BJ1,493827.2631,5403730.276,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ2,493852.30768,5403730.27205455,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ3,493877.35226,5403730.26810909,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ4,493902.39684,5403730.26416364,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ5,493927.44142,5403730.26021818,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ6,493952.486,5403730.25627273,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ7,493977.53058,5403730.25232727,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ8,494002.57516,5403730.24838182,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ9,494027.61974,5403730.24443636,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ10,494052.66432,5403730.24049091,42.939140371141754,31.719266400987756,43.340736094942145,19.948984229337974,59.38317393605667,164.58461703315592,39.078519358118534,135.37737440179936,31.08900540476229,0.1338980692280363,0.133863470891467,3.4598336569297006e-05
BJ11,494077.7089,5403730.23654545,42.79873666700165,31.640160564813673,43.19629277908335,19.912264892726245,59.258246541476225,164.3584154340466,38.970381757199846,135.183982139294,30.99761940167204,0.13216519498471735,0.13213067096670184,3.4524018015513747e-05
BJ12,494102.75348,5403730.2326,42.658603505539574,31.561181561944508,43.05212986100144,19.87558838854981,59.13349168831015,164.1323333179403,38.86243222372199,134.9907096402937,30.90639906348853,0.13043470790927073,0.1304002581074295,3.444980184122426e-05
BJ13,494127.79806,5403730.22865455,42.55204846839113,31.497944341727333,42.9427682227817,19.84422798586848,59.03015162959378,163.92108069043528,38.77782448459648,134.81230144825537,30.835740052966592,0.12900050164019072,0.12896611334779606,3.438829239466035e-05
BJ14,494152.84264,5403730.22470909,42.520727038249724,31.46997743850863,42.911380737856696,19.824778596618614,58.97479257816386,163.7430543353735,38.745515300507755,134.66719754114953,30.81114981120686,0.1282301285712235,0.12819577331816367,3.435525305983678e-05
BJ15,494177.88722,5403730.22076364,42.576535865401475,31.482858128805656,42.970297417636544,19.819123703065884,58.9750017453032,163.60350830603187,38.773774614195084,134.56066430823083,30.83991316814185,0.1282285602948822,0.12819420510908175,3.435518580044428e-05
BJ16,494202.9318,5403730.21681818,42.71949392032006,31.53659530614696,43.11953792363844,19.827266308587024,59.03079122953926,163.50245098015773,38.86261561293604,134.4927101469978,30.922041740194235,0.12899596419832918,0.12896157610053383,3.438809779535146e-05
