钻孔ID,X,Y,subsidence,source_file,x,y,odi_pred,odi_norm_pred,subs_pred,subs_resid
Q11,5403810.465,494117.944,0.33749999999997726,测线1.xlsx,494117.944,5403810.465,0.5458815455694422,0.43718416507057317,2.335903329994372,-1.9984033299943946
Q12,5403785.4775,494117.966,0.5375000000000227,测线1.xlsx,494117.966,5403785.4775,0.5449352394515846,0.4351385234586604,2.330128713247164,-1.7926287132471415
Q13,5403760.5425,494117.9665,0.78449999999998,测线1.xlsx,494117.9665,5403760.5425,0.5446124774026289,0.43444080475471275,2.3281591316307177,-1.5436591316307378
Q14,5403735.586999999,494117.9865,1.121499999999969,测线1.xlsx,494117.9865,5403735.586999999,0.5416971966192206,0.4281388063121278,2.310369297118399,-1.1888692971184298
Q15,5403710.6620000005,494117.989,1.6330000000000382,测线1.xlsx,494117.989,5403710.6620000005,0.5406356499899748,0.42584404786473706,2.303891451495819,-0.6708914514957809
Q16,5403685.6395,494117.9405,2.2414999999999736,测线1.xlsx,494117.9405,5403685.6395,0.537825661126196,0.4197696602640691,2.2867441368520334,-0.045244136852059746
Q17,5403635.705,494117.907,2.9945000000000164,测线1.xlsx,494117.907,5403635.705,0.5332747215462348,0.4099318380177677,2.2589730684651244,0.735526931534892
Q18,5403610.726,494117.838,2.8005000000000564,测线1.xlsx,494117.838,5403610.726,0.5288445334445229,0.4003550457320173,2.231938858368984,0.5685611416310725
Q19,5403585.6685,494117.8945,2.246499999999969,测线1.xlsx,494117.8945,5403585.6685,0.5234204614661552,0.3886297624060709,2.198839699129421,0.04766030087054807
Q20,5403560.7515,494117.921,1.5874999999999773,测线1.xlsx,494117.921,5403560.7515,0.5189925679825025,0.3790579304244925,2.17181949141541,-0.5843194914154326
Q21,5403535.732,494117.8455,1.0405000000000655,测线1.xlsx,494117.8455,5403535.732,0.5247697442669227,0.39154652368596254,2.207073388958745,-1.1665733889586796
Q22,5403510.789,494117.83050000004,0.6955000000000382,测线1.xlsx,494117.83050000004,5403510.789,0.5273020402699399,0.3970206192029335,2.2225261464036783,-1.52702614640364
Q23,5403485.5865,494117.8605,0.4814999999999827,测线1.xlsx,494117.8605,5403485.5865,0.5295324422521915,0.4018421066899991,2.2361366646035123,-1.7546366646035296
Q24,5403460.733,494117.824,0.29750000000001364,测线1.xlsx,494117.824,5403460.733,0.5328691550675401,0.40905511995628857,2.2564981917462896,-1.958998191746276
Q25,5403435.661,494117.7415,0.20499999999992724,测线1.xlsx,494117.7415,5403435.661,0.5359168874070556,0.4156434405620949,2.275096281599726,-2.070096281599799
Q26,5403410.649499999,494117.7905,0.12999999999999545,测线1.xlsx,494117.7905,5403410.649499999,0.5386905360083126,0.4216392709688548,2.2920218380992963,-2.162021838099301
S11,5403810.3215,494517.90099999995,0.36599999999998545,测线2.xlsx,494517.90099999995,5403810.3215,0.5904482734894222,0.5335246107460878,2.6078615986332787,-2.2418615986332933
S12,5403785.489499999,494517.993,0.6079999999999472,测线2.xlsx,494517.993,5403785.489499999,0.5900237353337218,0.5326068813763228,2.6052709515926713,-1.997270951592724
S13,5403760.481000001,494518.002,0.9474999999999909,测线2.xlsx,494518.002,5403760.481000001,0.5902453711161635,0.5330859941821011,2.6066234332864027,-1.6591234332864118
S14,5403735.465,494517.91949999996,1.4449999999999363,测线2.xlsx,494517.91949999996,5403735.465,0.605307699366294,0.5656464150219264,2.6985378480024975,-1.2535378480025612
S15,5403710.5635,494517.896,2.166499999999928,测线2.xlsx,494517.896,5403710.5635,0.5863373582816148,0.5246379946147544,2.5827756783825477,-0.4162756783826196
S16,5403685.559,494517.83849999995,3.0389999999999873,测线2.xlsx,494517.83849999995,5403685.559,0.5852148315445069,0.5222114147157365,2.575925715592529,0.46307428440745824
S17,5403635.575999999,494517.904,4.437000000000012,测线2.xlsx,494517.904,5403635.575999999,0.5874993603379002,0.5271499087983453,2.5898665302833113,1.8471334697167006
S18,5403610.600500001,494517.855,4.363499999999931,测线2.xlsx,494517.855,5403610.600500001,0.5857765519902132,0.5234256927345681,2.579353486196367,1.784146513803564
S19,5403585.6635,494517.907,3.6409999999999627,测线2.xlsx,494517.907,5403585.6635,0.582499245211659,0.5163410982310578,2.5593544708121887,1.081645529187774
S20,5403560.726500001,494517.917,2.5850000000000364,测线2.xlsx,494517.917,5403560.726500001,0.5796869347286281,0.5102616919573982,2.5421929890176673,0.042807010982369054
S21,5403535.4815,494519.5655,1.65849999999989,测线2.xlsx,494519.5655,5403535.4815,0.5898905491668286,0.5323189711959004,2.6044582134571734,-0.9459582134572835
S22,5403510.6535,494517.88399999996,1.0370000000000346,测线2.xlsx,494517.88399999996,5403510.6535,0.5900777482093211,0.5327236416759993,2.60560055281802,-1.5686005528179856
S23,5403485.7045,494517.7945,0.6119999999999663,测线2.xlsx,494517.7945,5403485.7045,0.587394485020245,0.5269231985300621,2.5892265526330864,-1.97722655263312
S24,5403460.7325,494517.64300000004,0.35149999999998727,测线2.xlsx,494517.64300000004,5403460.7325,0.5879023074257387,0.5280209644902902,2.5923254227682704,-2.240825422768283
S25,5403435.5505,494517.828,0.19399999999995998,测线2.xlsx,494517.828,5403435.5505,0.5886631327165233,0.5296656499095781,2.5969681851714244,-2.4029681851714644
S26,5403410.58,494517.8075,0.12149999999996908,测线2.xlsx,494517.8075,5403410.58,0.5892597602777616,0.5309553870707905,2.600608968467608,-2.479108968467639
Z11,5403660.731000001,493843.07649999997,1.3059999999999263,测线3.xlsx,493843.07649999997,5403660.731000001,0.5286882225542154,0.4000171465516428,2.230985006895442,-0.9249850068955157
Z12,5403660.6885,493868.1355,1.8085000000000946,测线3.xlsx,493868.1355,5403660.6885,0.531983995432335,0.40714165945044367,2.251096707430644,-0.44259670743054924
Z13,5403660.7015,493893.174,2.2099999999999227,测线3.xlsx,493893.174,5403660.7015,0.5343976498538426,0.41235928599669125,2.265825481747315,-0.055825481747392214
Z14,5403660.7,493918.1335,2.546000000000049,测线3.xlsx,493918.1335,5403660.7,0.5357664160090577,0.415318164684306,2.2741780642930247,0.2718219357070244
Z15,5403660.6305,493942.958,2.8144999999999527,测线3.xlsx,493942.958,5403660.6305,0.5364472076318569,0.41678984033593564,2.278332439533962,0.5361675604659908
Z16,5403660.6365,493968.0255,3.0445000000000846,测线3.xlsx,493968.0255,5403660.6365,0.5368226118703106,0.417601356310495,2.280623258077178,0.7638767419229064
Z17,5403660.638499999,493993.0095,3.1960000000000264,测线3.xlsx,493993.0095,5403660.638499999,0.5370055559155152,0.4179968287104545,2.281739632289819,0.9142603677102072
Z18,5403660.7195,494017.99450000003,3.20900000000006,测线3.xlsx,494017.99450000003,5403660.7195,0.5370269267806382,0.4180430263732954,2.281870043108594,0.9271299568914659
Z19,5403660.614,494042.936,3.16050000000007,测线3.xlsx,494042.936,5403660.614,0.5368842099480938,0.41773451363533,2.280999146264785,0.8795008537352849
Z20,5403660.745999999,494067.96849999996,2.9965000000000828,测线3.xlsx,494067.96849999996,5403660.745999999,0.5366230712449647,0.4171700068784557,2.279405607028404,0.7170943929716787
Z21,5403660.692,494093.1755,2.8870000000000573,测线3.xlsx,494093.1755,5403660.692,0.5362362572317523,0.4163338262530065,2.2770451629431347,0.6099548370569225
Z22,5403660.649,494117.926,2.7770000000000437,测线3.xlsx,494117.926,5403660.649,0.53573842643797,0.4152576592831071,2.2740072643342164,0.5029927356658273
Z23,5403660.681,494143.216,2.701999999999998,测线3.xlsx,494143.216,5403660.681,0.5351393953980847,0.4139627264924436,2.270351814359054,0.431648185640944
Z24,5403660.7155,494168.18799999997,2.6660000000000537,测线3.xlsx,494168.18799999997,5403660.7155,0.5345375629409479,0.4126617378435454,2.2666792693755515,0.39932073062450213
Z25,5403660.659,494193.119,2.65949999999998,测线3.xlsx,494193.119,5403660.659,0.5340200314196527,0.4115429835678825,2.26352115158081,0.39597884841916997
Z26,5403660.698,494218.129,2.6364999999999554,测线3.xlsx,494218.129,5403660.698,0.5337383589763299,0.41093408877145793,2.2618023098891586,0.3746976901107968
Z27,5403660.6844999995,494242.9865,2.707499999999982,测线3.xlsx,494242.9865,5403660.6844999995,0.5338311636145799,0.411134705703127,2.262368628977817,0.44513137102216493
Z28,5403660.6675,494268.0525,2.68100000000004,测线3.xlsx,494268.0525,5403660.6675,0.5344508406404086,0.41247426917635843,2.2661500663622767,0.41484993363776335
Z29,5403660.6135,494293.0105,2.659999999999968,测线3.xlsx,494293.0105,5403660.6135,0.5357694822738028,0.41532479306663944,2.274196775472647,0.3858032245273213
Z30,5403660.4505,494343.1505,2.6499999999999773,测线3.xlsx,494343.1505,5403660.4505,0.5409200079360058,0.42645874794550787,2.305626680853809,0.3443733191461682
Z31,5403660.507999999,494368.0565,2.734499999999912,测线3.xlsx,494368.0565,5403660.507999999,0.544845356468765,0.43494422230558877,2.3295802228928437,0.40491977710706806
Z32,5403660.5115,494392.9675,2.8740000000000236,测线3.xlsx,494392.9675,5403660.5115,0.5496792306213168,0.4453936677087235,2.3590778348267234,0.5149221651733003
Z33,5403660.524,494417.9965,3.0450000000000728,测线3.xlsx,494417.9965,5403660.524,0.5554541326717999,0.4578773447306272,2.3943178543773747,0.6506821456226981
Z34,5403660.532,494443.23600000003,3.24350000000004,测线3.xlsx,494443.23600000003,5403660.532,0.5621765560412098,0.4724092902795837,2.4353399061619485,0.8081600938380915
Z35,5403660.5735,494468.1665,3.447499999999991,测线3.xlsx,494468.1665,5403660.5735,0.569652242756119,0.4885695744973999,2.4809585753073256,0.9665414246926654
Z36,5403660.589500001,494493.1435,3.666500000000042,测线3.xlsx,494493.1435,5403660.589500001,0.5778764611504732,0.5063479688831718,2.531144987903124,1.1353550120969178
Z37,5403660.5445,494517.8895,3.9109999999999445,测线3.xlsx,494517.8895,5403660.5445,0.5866178619528706,0.525244362862181,2.5844873879098555,1.326512612090089
Z38,5403660.542,494542.8985,4.197999999999979,测线3.xlsx,494542.8985,5403660.542,0.5958795304913503,0.5452654260261207,2.641004602836536,1.5569953971634432
Z39,5403660.5565,494567.89749999996,4.430499999999938,测线3.xlsx,494567.89749999996,5403660.5565,0.6053776911570606,0.5657977171396895,2.6989649569046814,1.7315350430952567
Z40,5403660.578500001,494592.88399999996,4.601500000000101,测线3.xlsx,494592.88399999996,5403660.578500001,0.6149234515328162,0.5864329051338169,2.757215777321509,1.844284222678592
Z41,5403660.4975000005,494617.939,4.740499999999997,测线3.xlsx,494617.939,5403660.4975000005,0.6243408652066733,0.6067906444787168,2.8146833913316085,1.9258166086683888
Z42,5403660.4805,494642.983,4.826000000000022,测线3.xlsx,494642.983,5403660.4805,0.6332604361778185,0.6260721911100413,2.869113034061269,1.9568869659387529
Z43,5403660.470000001,494667.94649999996,4.781000000000063,测线3.xlsx,494667.94649999996,5403660.470000001,0.6413509982754774,0.6435616590299956,2.91848383966193,1.8625161603381328
Z44,5403660.498,494692.9735,4.775499999999965,测线3.xlsx,494692.9735,5403660.498,0.6483625245506633,0.6587185618977557,2.961270075836583,1.8142299241633824
Z45,5403660.4775,494717.97750000004,4.660000000000082,测线3.xlsx,494717.97750000004,5403660.4775,0.6540123854830105,0.6709319359916367,2.9957470605497214,1.6642529394503605
Z46,5403660.495,494742.9805,4.563499999999976,测线3.xlsx,494742.9805,5403660.495,0.6580489977862959,0.6796579306174059,3.020379564312149,1.5431204356878272
Z47,5403660.532,494767.9885,4.443499999999972,测线3.xlsx,494767.9885,5403660.532,0.6603495300910002,0.6846310196878921,3.0344180367721107,1.409081963227861
Z48,5403660.452,494792.9755,4.231999999999971,测线3.xlsx,494792.9755,5403660.452,0.6610460216984615,0.686136634190096,3.038668217580242,1.1933317824197287
Z49,5403660.4145,494817.9965,4.201000000000022,测线3.xlsx,494817.9965,5403660.4145,0.660322777991308,0.6845731893438805,3.034254788199593,1.166745211800429
Z50,5403660.478,494842.9225,4.184500000000071,测线3.xlsx,494842.9225,5403660.478,0.6585388632740864,0.6807168788870557,3.023368856462218,1.1611311435378529
Z51,5403660.4475,494867.98,4.254499999999894,测线3.xlsx,494867.98,5403660.4475,0.6562611869790549,0.6757931979347117,3.009469857576124,1.2450301424237695
Z52,5403660.421,494892.98250000004,4.536499999999933,测线3.xlsx,494892.98250000004,5403660.421,0.6539979027406753,0.6709006284688247,2.9956586829255505,1.5408413170743822
Z53,5403660.431,494917.94649999996,4.686500000000024,测线3.xlsx,494917.94649999996,5403660.431,0.6522934185030699,0.6672160238599177,2.9852574575312656,1.701242542468758
Z54,5403660.448,494942.90150000004,4.916999999999916,测线3.xlsx,494942.90150000004,5403660.448,0.6516377412483103,0.6657986382475791,2.9812563369798424,1.935743663020074
Z55,5403660.442500001,494967.901,5.101999999999975,测线3.xlsx,494967.901,5403660.442500001,0.6524073265424566,0.6674622602742293,2.9859525553008686,2.116047444699107
Z56,5403660.3495000005,494992.9375,5.106999999999971,测线3.xlsx,494992.9375,5403660.3495000005,0.6548558355703327,0.672755232453152,3.000894021884718,2.1061059781152527
Z57,5403660.444499999,495017.9285,4.9594999999999345,测线3.xlsx,495017.9285,5403660.444499999,0.6591330873184544,0.6820014203361923,3.026994972846174,1.9325050271537605
Z58,5403660.3585,495042.875,4.483499999999935,测线3.xlsx,495042.875,5403660.3585,0.6652906964593065,0.6953123999977546,3.0645703749243345,1.418929625075601
Z59,5403660.312,495067.95,3.599999999999909,测线3.xlsx,495067.95,5403660.312,0.6732304151551598,0.7124757878746951,3.113020693150102,0.48697930684980717
Z60,5403660.37,495092.88300000003,2.4950000000000045,测线3.xlsx,495092.88300000003,5403660.37,0.6825004635982805,0.732514965981902,3.1695890445291064,-0.6745890445291018
Z61,5403660.397,495117.8585,1.44399999999996,测线3.xlsx,495117.8585,5403660.397,0.6925565530002405,0.7542533385291785,3.2309540311609615,-1.7869540311610015
Z62,5403660.352,495142.8865,0.8500000000000227,测线3.xlsx,495142.8865,5403660.352,0.7022177340644191,0.775138032849704,3.2899091799423257,-2.439909179942303
Z63,5403660.346000001,495167.95149999997,0.34000000000003183,测线3.xlsx,495167.95149999997,5403660.346000001,0.7120476097767495,0.7963873964727463,3.3498937492484004,-3.0098937492483686
Z64,5403660.3225,495192.912,0.16999999999995907,测线3.xlsx,495192.912,5403660.3225,0.7333917169356953,0.8425272162937326,3.480141283664941,-3.310141283664982
Z65,5403660.26,495217.80449999997,0.11300000000005639,测线3.xlsx,495217.80449999997,5403660.26,0.7381534736437065,0.8528207645271121,3.509198815380431,-3.396198815380375
Z66,5403660.396500001,495242.83,0.06600000000003092,测线3.xlsx,495242.83,5403660.396500001,0.7176998371594493,0.8086058861515575,3.3843851746838163,-3.3183851746837854
