序号,名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa
57,腐殖土,0.4,,,
56,细砂岩,80.73,,,
55,15-4煤,0.63,,,
54,中砾岩,21.84,,,
53,粉砂质泥岩,1.2,,,
52,15-5上煤,1.6,,,
51,细砂岩,2.15,,,
50,泥岩,1.85,,,
49,15-5下煤,2.6,,,
48,细砂岩,30.14,,,
47,炭质泥岩,0.67,,,
46,中砾岩,13.89,,,
45,粉砂岩,1.15,,,
44,细砂岩,3.55,,,
43,中砾岩,20.05,,,
42,泥岩,0.65,,,
41,粉砂岩,2.1,,,
40,炭质泥岩,0.5,,,
39,粉砂岩,2,,,
38,15-7煤,1.4,,,
37,泥岩,3.95,,,
36,中砾岩,70.95,,,
35,粉砂岩,4.2,,,
34,16-1煤,3.3,,,
33,炭质泥岩,6.2,,,
32,砂纸砾岩,3.6,,,
31,粗砂岩,0.8,,,
30,粉砂岩,10.5,,,
29,细砂岩,0.8,,,
28,炭质泥岩,0.4,,,
27,粉砂岩,2,,,
26,中砾岩,23,,,
25,粉砂质泥岩,10,,,
24,粉砂岩,6.3,,,
23,砂质泥岩,0.7,,,
22,粉砂岩,1.4,,,
21,16-2上煤,2.3,,,
20,细砂岩,4,,,
19,炭质泥岩,0.3,,,
18,细砂岩,2.6,,,
17,中砂岩,4.3,,,
16,炭质泥岩,1.5,,,
15,中砂岩,1.3,,,
14,粉砂岩,1,,,
13,16-2下煤,3.4,,,
12,中砾岩,5.5,,,
11,细砂岩,1.2,,,
10,16-3上煤,12.1,,,
9,粉砂岩,2.8,,,
8,16-3中煤,1.1,,,
7,细砂岩,6.45,,,
6,炭质泥岩,0.5,,,
5,16-3煤,25.25,,,
4,中砾岩,4.5,,,
3,泥岩,1.7,,,
2,16-4煤,2.3,,,
1,细砂岩,5.7,,,
