序号,名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa
41,腐殖土,0.5,,,
40,细砂岩,70.45,,,
39,含碳泥岩,1.8,,,
38,砂质泥岩,4.2,,,
37,15-3煤,3.85,,,
36,细砂岩,0.55,,,
35,泥岩,11.2,,,
34,砂质砾岩,18.85,,,
33,煤5,0.4,,,
32,砂质泥岩,7.5,,,
31,煤4,0.4,,,
30,砂质泥岩,3.4,,,
29,砂质砾岩,7,,,
28,15-4煤,0.8,,,
27,砂质泥岩,7.5,,,
26,泥岩,4.3,,,
25,15-5下煤,1.3,,,
24,泥岩,32,,,
23,粉砂岩,43.4,,,
22,砂质泥岩,16.05,,,
21,15-7煤,0.8,,,
20,细砂岩,11.25,,,
19,砂质泥岩,8.7,,,
18,砂质砾岩,27.49,,,
17,砂质泥岩,4.15,,,
16,16-1煤,0.9,,,
15,砂质泥岩,32.45,,,
14,中砂岩,1.8,,,
13,砂质泥岩,1.5,,,
12,煤3,0.7,,,
11,炭质泥岩,0.7,,,
10,含砾粉砂岩,5.7,,,
9,中砾岩,7.3,,,
8,泥岩,7.3,,,
7,煤2,1.2,,,
6,砂质泥岩,7.1,,,
5,煤1,0.4,,,
4,砂质泥岩,17.25,,,
3,细砂岩,4.2,,,
2,16-2煤,31.2,,,
1,砂质泥岩,2.4,,,
