序号,名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa
37,表土,0.5,,,
36,粉砂岩,32.45,,,
35,黏土,14.61,,,
34,砂砾岩,14.45,,,
33,粉砂岩,16.89,,,
32,中砾岩,12.2,,,
31,粉砂质泥岩,12.27,,,
30,中砾岩,1.63,,,
29,粉砂质泥岩,4.48,,,
28,中砾岩,12.2,,,
27,粉砂质泥岩,6.22,,,
26,粗砾岩,6.5,,,
25,粉砂质泥岩,5.84,,,
24,粗砾岩,6.22,,,
23,粉砂岩,11.56,,,
22,中砾岩,0.6,,,
21,泥岩,18.33,,,
20,中砾岩,61.22,,,
19,泥岩,25.65,,,
18,含砾粉砂岩,5.18,,,
17,16-2下煤,0.3,,,
16,含砾粉砂岩,48.26,,,
15,粉砂岩,11.95,,,
14,煤,0.29,,,
13,粉砂岩,15.13,,,
12,煤,0.67,,,
11,粉砂质泥岩,20.77,,,
10,16-3上煤,0.43,,,
9,粉砂质泥岩,7.7,,,
8,16-3中煤,0.9,,,
7,粉砂质泥岩,2.3,,,
6,16-3煤,17.56,,,
5,粉砂质泥岩,1.4,,,
4,煤,0.24,,,
3,粉砂质泥岩,5.92,,,
2,煤,0.6,,,
1,细砂岩,23.82,,,
