序号,名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa
46,腐殖土,0.8,,,
45,细砂岩,38.95,,,
44,砾岩,18.35,,,
43,粉砂岩,1,,,
42,中砾岩,8.25,,,
41,细砂岩,8.45,,,
40,粉砂岩,0.45,,,
39,细砂岩,4,,,
38,15-5下煤,1,,,
37,泥岩,10.4,,,
36,细砂岩,5.35,,,
35,粉砂岩,2,,,
34,细砂岩,9.75,,,
33,15-6煤,0.49,,,
32,泥岩,1,,,
31,砂质砾岩,4.3,,,
30,细砂岩,9.7,,,
29,粉砂岩,2.85,,,
28,细砂岩,4.45,,,
27,砂质砾岩,16,,,
26,粉砂岩,2,,,
25,15-7煤,1.4,,,
24,炭质泥岩,1.15,,,
23,粉砂岩,6.2,,,
22,砂质砾岩,50.35,,,
21,粉砂岩,3.45,,,
20,16-1煤,1.5,,,
19,粉砂岩,69.76,,,
18,16-2上煤,2.98,,,
17,粉砂岩,2.66,,,
16,16-2下煤,4.64,,,
15,粉砂岩,2.96,,,
14,炭质泥岩,0.6,,,
13,粉砂岩,13.8,,,
12,16-3上煤,14.88,,,
11,粉砂岩,4.25,,,
10,炭质泥岩,0.82,,,
9,粉砂岩,1.73,,,
8,16-3中煤,6.47,,,
7,粉砂岩,4.98,,,
6,16-3煤,18.86,,,
5,粉砂岩,1.74,,,
4,炭质泥岩,0.57,,,
3,粉砂岩,11.28,,,
2,16-4煤,1,,,
1,粉砂岩,3.91,,,
