序号,名称,厚度/m
1,腐殖土,1.0
2,细砂岩,63.4
3,黏土,3.0
4,煤,0.55
5,泥岩,1.5
6,粉砂岩,1.8
7,细砂岩,10.05
8,粗砂岩,2.0
9,中砾岩,18.6
10,细砂岩,1.1
11,粉砂岩,2.0
12,中砾岩,30.95
13,泥岩,7.75
14,15-7煤,1.0
15,泥岩,5.2
16,中砾岩,55.0
17,泥岩,4.3
18,16-1煤,2.35
19,泥岩,4.75
20,粉砂岩,12.6
21,泥岩,1.0
22,中砾岩,4.25
23,泥岩,3.4
24,煤,0.85
25,泥岩,0.6
26,细砂岩,1.7
27,泥岩,1.0
28,中砾岩,4.1
29,粉砂岩,5.0
30,泥岩,3.5
31,煤,0.8
32,泥岩,5.05
33,粉砂岩,8.45
34,中砾岩,7.35
35,粉砂岩,2.6
36,中砾岩,14.6
37,煤,0.7
38,泥岩,8.85
39,16-3煤,46.43000000000001
