序号,名称,厚度/m
1,腐殖土,0.6
2,细砂岩,5.2
3,砂砾岩,42.9
4,黏土,10.7
5,中砾岩,19.2
6,泥岩,6.2
7,煤,1.2
8,泥岩,1.5
9,煤,0.7
10,炭质泥岩,3.2
11,15-5下煤,1.6
12,泥岩,3.6
13,炭质泥岩,1.45
14,粗砂岩,23.1
15,炭质泥岩,0.6
16,中砾岩,33.45
17,泥岩,10.9
18,煤,1.15
19,粉砂岩,6.6
20,中砾岩,37.5
21,泥岩,8.2
22,细砂岩,13.8
23,粉砂岩,10.9
24,16-1煤,2.5
25,炭质泥岩,0.35
26,粉砂岩,7.15
27,中砾岩,19.0
28,泥岩,11.9
29,炭质泥岩,0.5
30,粉砂岩,15.6
31,中砾岩,17.4
32,粉砂岩,3.8
33,16-3煤,42.77999999999997
