序号,名称,厚度/m
1,腐殖土,0.5
2,细砂岩,31.6
3,黏土,25.8
4,砂质泥岩,21.7
5,粉砂岩,9.89
6,细砂岩,1.69
7,15-6煤,1.22
8,砂质泥岩,1.0
9,砂质砾岩,4.2
10,砂质泥岩,9.2
11,砂质砾岩,16.6
12,粉砂岩,5.93
13,煤,0.92
14,泥岩,1.75
15,砂质砾岩,48.85
16,泥岩,1.9
17,16-1煤,1.4
18,砂质泥岩,32.15
19,砂质砾岩,4.2
20,砂质泥岩,14.3
21,煤,0.4
22,砂质砾岩,11.5
23,泥岩,4.8
24,中砾岩,14.2
25,煤,0.7
26,泥岩,15.6
27,中砾岩,5.8
28,炭质泥岩,0.85
29,16-3煤,29.350000000000023
