序号,名称,厚度/m
1,腐殖土,0.5
2,细砂岩,34.5
3,砾岩,40.25
4,粉砂岩,2.0
5,中砾岩,64.25
6,粉砂岩,0.8
7,煤,0.8
8,粉砂岩,3.4
9,中砾岩,72.4
10,粉砂岩,0.7
11,煤,1.0
12,含碳泥岩,0.4
13,煤,1.5
14,粉砂岩,10.85
15,炭质泥岩,0.5
16,粉砂岩,8.95
17,煤,0.7
18,炭质泥岩,0.8
19,粉砂岩,0.5
20,细砂岩,5.75
21,中砾岩,7.1
22,粉砂岩,8.2
23,煤,0.7
24,粉砂岩,11.09
25,16-3煤,45.920000000000016
