序号,名称,厚度/m
1,腐殖土,0.5
2,细砂岩,38.1
3,砂砾岩,29.55
4,黏土,1.4
5,泥岩,1.6
6,15-5下煤,2.8
7,泥岩,1.2
8,中砾岩,0.75
9,砂质砾岩,9.5
10,泥岩,4
11,砂质砾岩,8
12,泥岩,1
13,砂质砾岩,36.45
14,泥岩,7.1
15,炭质泥岩,0.5
16,泥岩,1.2
17,煤,0.7
18,泥岩,0.3
19,粉砂岩,1
20,砂质砾岩,72.2
21,泥岩,0.5
22,煤,3.5
23,泥岩,4.6
24,煤,0.8
25,泥岩,2.6
26,炭质泥岩,0.8
27,泥岩,1.2
28,炭质泥岩,0.4
29,泥岩,1.6
30,细砂岩,5.1
31,砂质砾岩,7.85
32,泥岩,1
33,细砂岩,6.25
34,砂质砾岩,0.8
35,炭质泥岩,0.3
36,砂质砾岩,5.45
37,含砾细砂岩,3.45
38,粉砂岩,0..3
39,含砾细砂岩,5.7
40,泥岩,1.05
41,砂质砾岩,11.3
42,细砂岩,2.6
43,粉砂岩,2
44,细砂岩,2
45,砂质砾岩,6
46,煤,0.5
47,泥岩,0.6
48,粉砂岩,1
49,砂质砾岩,1
50,粉砂岩,1.3
51,16-3煤,43.650000000000034
