序号,名称,厚度/m
1,腐殖土,0.8
2,细砂岩,27.75
3,李杨,6.1
4,黏土,6.0
5,砾岩,7.1
6,泥岩,19.5
7,中砾岩,21.5
8,炭质泥岩,0.5
9,15-6煤,0.5
10,中砾岩,13.25
11,泥岩,2.4
12,中砾岩,23.3
13,粉砂岩,3.0
14,15-7煤,1.4000000000000057
15,泥岩,8.55
16,中砾岩,39.85
17,泥岩,7.9
18,16-1煤,2.6500000000000057
19,泥岩,4.7
20,细砂岩,7.8
21,粉砂岩,16.25
22,煤,0.7
23,粉砂岩,12.75
24,煤,0.4
25,粉砂岩,16.35
26,粗砾岩,17.2
27,泥岩,2.6
28,煤,0.7
29,泥岩,6.55
30,16-3煤,32.19999999999999
