序号,名称,厚度/m
1,腐殖土,0.5
2,细砂岩,59.0
3,砂砾岩,18.9
4,粉砂岩,0.6
5,煤,1.0
6,粉砂岩,9.7
7,中砾岩,16.5
8,粉砂岩,6.6
9,中砾岩,13.75
10,粉砂岩,24.7
11,煤,1.3
12,粉砂岩,5.95
13,炭质泥岩,0.5
14,中砾岩,50.7
15,粉砂岩,6.45
16,16-1煤,2.5
17,细砂岩,20.95
18,粉砂岩,11.75
19,含砾砂岩,6.4
20,粉砂岩,4.8
21,炭质泥岩,0.2
22,粉砂岩,3.75
23,含砾砂岩,18.75
24,中砾岩,15.7
25,细砂岩,6.8
26,含砾砂岩,20.4
27,16-3煤,42.44
