序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
22,黄土,70.33,0.54,1800,0.0,
21,粗粒砂岩,5.65,11.49,2780,3.075,117.21000000000001
20,砂质泥岩,11.14,7.17,2680,1.32,
19,中粒砂岩,12.88,20.0,2570,2.72,87.12
18,砂质泥岩,12.63,7.17,2680,1.32,87.53999999999999
17,中粒砂岩,2.59,20.0,2570,2.72,
16,砂质泥岩,3.48,7.17,2680,1.32,
15,中粒砂岩,8.95,20.0,2570,2.72,
14,砂质泥岩,2.57,7.17,2680,1.32,
13,含砾粗粒砂岩,2.46,11.49,2780,1.44,
12,4号风化煤,3.11,2.72,1410,0.83,
11,炭质泥岩,2.95,7.17,2680,1.32,
10,煤线,1.66,2.72,1410,0.83,
9,砂质泥岩,2.72,7.17,2680,1.32,
8,含砾粗砂岩,9.84,11.49,2780,1.44,
7,砂质泥岩,4.93,7.17,2680,1.32,
6,煤线,0.4,2.72,1410,0.83,
5,砂质泥岩,2.21,7.17,2680,1.32,
4,5煤,4.22,2.72,1410,0.83,
3,砂质泥岩,3.73,7.17,2680,1.32,
2,粗粒砂岩,17.21,11.49,2780,3.075,
1,炭质泥岩,1.88,7.17,2680,1.32,
0,6-1煤,7.78,2.72,1410,0.83,
