序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
9,黄土,102.97,0.54,1800,0.0,
8,含砾粗砂岩,15.24,11.49,2780,1.44,42.690000000000005
7,粗粒砂岩,2.73,11.49,2780,3.075,
6,高岭质泥岩,5.73,7.17,2680,1.04,
5,细粒砂岩,11.18,9.54,2830,2.05,
4,中粒砂岩,7.64,20.0,2570,2.72,
3,粗粒砂岩,9.96,11.49,2780,3.075,
2,砂质泥岩,1.56,7.17,2680,1.32,
1,风化煤,3.89,2.72,1410,0.83,
0,6煤,11.09,2.72,1410,0.83,
