序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
8,黄土,101.19,0.54,1800,0.0,
7,砂质泥岩,3.8,7.17,2680,1.32,56.21
6,高岭质泥岩,4.46,7.17,2680,1.04,
5,粗粒砂岩,11.72,11.49,2780,3.075,109.44999999999999
4,砾岩,10.93,3.04,2520,1.0,36.23
3,砂质泥岩,3.64,7.17,2680,1.32,
2,粗粒砂岩,18.26,11.49,2780,3.075,
1,砂质泥岩,3.4,7.17,2680,1.32,
0,6煤,14.34,2.72,1410,0.83,
