序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
10,黄土,91.57,0.54,1800,0.0,
9,粗粒砂岩,12.17,11.49,2780,3.075,
8,黄土、断层,9.52,0.54,1800,0.0,
7,砂质泥岩,8.7,7.17,2680,1.32,
6,细粒砂岩,5.21,9.54,2830,2.05,
5,中粒砂岩,13.37,20.0,2570,2.72,
4,泥岩,2.7,7.17,2680,1.32,
3,煤,3.59,2.72,1410,0.83,
2,砂质泥岩,3.03,7.17,2680,1.32,
1,炭质泥岩,1.3,7.17,2680,1.32,47.42
0,6煤,3.52,2.72,1410,0.83,
