序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
7,黄土,103.0,0.54,1800,0.0,
6,砂质泥岩,13.56,7.17,2680,1.32,50.339999999999996
5,砂质泥岩,4.73,7.17,2680,1.32,
4,细粒砂岩,18.15,9.54,2830,2.05,121.29
3,砂质泥岩,4.7,7.17,2680,1.32,27.459999999999997
2,中粒砂岩,18.72,20.0,2570,2.72,
1,砂质泥岩,4.04,7.17,2680,1.32,
0,6煤,13.16,2.72,1410,0.83,
