序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
7,黄土,94.5,0.54,1800,0.0,
6,含砾中砂岩,14.2,20.0,2570,2.72,
5,中粒砂岩,4.03,20.0,2570,2.72,34.84
4,高岭质泥岩,6.68,7.17,2680,1.04,
3,中粒砂岩,16.53,20.0,2570,2.72,
2,细粒砂岩,4.28,9.54,2830,2.05,
1,砂质泥岩,3.32,7.17,2680,1.32,
0,6-1煤,8.88,2.72,1410,0.83,
