序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
11,黄土,102.15,0.54,1800,0.0,
10,中粒砂岩,3.69,20.0,2570,2.72,62.27
9,高岭质泥岩,5.23,7.17,2680,1.04,
8,泥岩,1.32,7.17,2680,1.32,
7,砂质泥岩,2.56,7.17,2680,1.32,
6,高岭质泥岩,3.51,7.17,2680,1.04,
5,中粒砂岩,20.92,20.0,2570,2.72,
4,泥岩,3.32,7.17,2680,1.32,
3,砂质泥岩,2.74,7.17,2680,1.32,
2,粗粒砂岩,17.02,11.49,2780,3.075,
1,砂质泥岩,1.96,7.17,2680,1.32,
0,6煤,14.82,2.72,1410,0.83,
