序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
17,黄土,116.99,0.54,1800,0.0,
16,高岭岩,5.38,2.95,2550,1.05,79.74999999999997
15,细粒砂岩,3.04,9.54,2830,2.05,
14,含砾粗砂岩,1.74,11.49,2780,1.44,
13,高岭岩,5.36,2.95,2550,1.05,
12,中粒砂岩,1.24,20.0,2570,2.72,
11,高岭岩,3.77,2.95,2550,1.05,
10,粗粒砂岩,4.81,11.49,2780,3.075,
9,风化煤,6.82,2.72,1410,0.83,
8,粉砂岩,3.73,10.2,2590,2.6,
7,粗粒砂岩,7.87,11.49,2780,3.075,
6,含砾粗砂岩,15.15,11.49,2780,1.44,160.75
5,5煤,3.55,2.72,1410,0.83,20.840000000000003
4,高岭岩,3.14,2.95,2550,1.05,
3,中粒砂岩,8.66,20.0,2570,2.72,
2,粗粒砂岩,3.25,11.49,2780,3.075,
1,砂质泥岩,2.24,7.17,2680,1.32,
0,6-1煤,7.31,2.72,1410,0.83,
