序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
24,黄土,95.79,0.54,1800,0.0,
23,粗粒砂岩,10.2,11.49,2780,3.075,106.45999999999998
22,砂质泥岩,7.65,7.17,2680,1.32,
21,中粒砂岩,4.37,20.0,2570,2.72,
20,砂质泥岩,3.42,7.17,2680,1.32,
19,粗粒砂岩,4.36,11.49,2780,3.075,
18,砂质泥岩,1.41,7.17,2680,1.32,
17,中粒砂岩,3.72,20.0,2570,2.72,
16,粉砂岩,3.1,10.2,2590,2.6,
15,粗粒砂岩,8.92,11.49,2780,3.075,
14,砂质泥岩,4.26,7.17,2680,1.32,
13,粉砂岩,0.91,10.2,2590,2.6,
12,含砾粗粒砂岩,6.24,11.49,2780,1.44,
11,粉砂岩,3.54,10.2,2590,2.6,
10,4煤,7.82,2.72,1410,0.83,
9,粉砂岩,1.27,10.2,2590,2.6,
8,含砾粗粒砂岩,11.48,11.49,2780,1.44,
7,砂质泥岩,5.94,7.17,2680,1.32,
6,粉砂岩,4.1,10.2,2590,2.6,
5,5煤,3.77,2.72,1410,0.83,
4,砂质泥岩,1.34,7.17,2680,1.32,
3,粗粒砂岩,14.1,11.49,2780,3.075,
2,含砾粗粒砂岩,2.92,11.49,2780,1.44,
1,砂质泥岩,1.82,7.17,2680,1.32,
0,6-1煤,6.9,2.72,1410,0.83,
