序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
6,黄土,74.88,0.54,1800,0.0,
5,含砾中砂岩,12.42,20.0,2570,2.72,
4,高岭质泥岩,11.35,7.17,2680,1.04,30.84
3,中粒砂岩,11.15,20.0,2570,2.72,
2,含砾中砂岩,2.3,20.0,2570,2.72,
1,砂质泥岩,6.04,7.17,2680,1.32,
0,6-1煤,5.35,2.72,1410,0.83,
