序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
12,黄土,83.0,0.54,1800,0.0,
11,砂质泥岩,1.15,7.17,2680,1.32,
10,中粒砂岩,3.28,20.0,2570,2.72,61.09
9,砂质泥岩,4.7,7.17,2680,1.32,
8,粗粒砂岩,5.37,11.49,2780,3.075,
7,粉砂岩,3.98,10.2,2590,2.6,
6,粗粒砂岩,18.65,11.49,2780,3.075,101.48000000000002
5,砂质泥岩,9.64,7.17,2680,1.32,28.39
4,中粒砂岩,5.25,20.0,2570,2.72,
3,粉砂岩,4.44,10.2,2590,2.6,
2,细粒砂岩,5.34,9.54,2830,2.05,
1,砂质泥岩,3.72,7.17,2680,1.32,
0,6煤,16.09,2.72,1410,0.83,
