序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
7,黄土,98.17,0.54,1800,0.0,
6,砂质泥岩,22.07,7.17,2680,1.32,50.94
5,粗粒砂岩,5.02,11.49,2780,3.075,
4,含砾粗粒砂岩,17.72,11.49,2780,1.44,125.26
3,高岭质泥岩,7.84,7.17,2680,1.04,28.2
2,中粒砂岩,19.56,20.0,2570,2.72,
1,高岭质泥岩,0.8,7.17,2680,1.04,
0,6-1煤,8.77,2.72,1410,0.83,
