序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
15,黄土,84.37,0.54,1800,0.0,
14,砂质泥岩,2.34,7.17,2680,1.32,86.71000000000001
13,粗粒砂岩,6.81,11.49,2780,3.075,60.89
12,砂质泥岩,4.75,7.17,2680,1.32,
11,中粒砂岩,2.9,20.0,2570,2.72,
10,含砾粗砂岩,5.93,11.49,2780,1.44,107.10000000000002
9,粗粒砂岩,10.73,11.49,2780,3.075,36.58
8,中粒砂岩,2.94,20.0,2570,2.72,
7,砂质泥岩,4.05,7.17,2680,1.32,
6,中粒砂岩,8.78,20.0,2570,2.72,
5,粗粒砂岩,12.2,11.49,2780,3.075,
4,中粒砂岩,3.69,20.0,2570,2.72,
3,砂质泥岩,1.0,7.17,2680,1.32,
2,泥岩,1.63,7.17,2680,1.32,
1,风化煤,2.29,2.72,1410,0.83,
0,6煤,12.15,2.72,1410,0.83,
