序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
14,黄土,126.1,0.54,1800,0.0,
13,中粒砂岩,4.35,20.0,2570,2.72,89.42999999999999
12,砂质泥岩,7.2,7.17,2680,1.32,
11,高岭质泥岩,5.9,7.17,2680,1.04,
10,中粒砂岩,3.4,20.0,2570,2.72,
9,细粒砂岩,1.73,9.54,2830,2.05,
8,高岭质泥岩,8.12,7.17,2680,1.04,
7,细粒砂岩,2.22,9.54,2830,2.05,
6,高岭质泥岩,6.43,7.17,2680,1.04,
5,中粒砂岩,4.3,20.0,2570,2.72,
4,粗粒砂岩,24.27,11.49,2780,3.075,169.75
3,高岭质泥岩,5.2,7.17,2680,1.04,25.86
2,中粒砂岩,18.91,20.0,2570,2.72,
1,砂质泥岩,1.75,7.17,2680,1.32,
0,6煤,17.29,2.72,1410,0.83,
