序号(从下到上),名称,厚度/m,弹性模量/Gpa,容重/kN*m-3,抗拉强度/MPa,Unnamed: 6
7,黄土,91.5,0.54,1800,0.0,
6,砂质泥岩,9.71,7.17,2680,1.32,53.28999999999999
5,砂质泥岩,12.09,7.17,2680,1.32,
4,细粒砂岩,11.32,9.54,2830,2.05,113.30000000000001
3,砂质泥岩,9.31,7.17,2680,1.32,29.88
2,中粒砂岩,16.27,20.0,2570,2.72,
1,砂质泥岩,4.3,7.17,2680,1.32,
0,6煤,14.8,2.72,1410,0.83,
