2025-12-09 17:39:45 | INFO     | mining_design | log_api_request:85 | GET /api/geology/layers -> 200 (125ms)
2025-12-09 17:39:45 | INFO     | mining_design | log_api_request:85 | GET /api/boreholes/ -> 200 (22ms)
2025-12-09 17:39:45 | INFO     | mining_design | log_api_request:85 | GET /api/boundary/ -> 200 (20ms)
2025-12-09 17:39:45 | INFO     | mining_design | log_api_request:85 | OPTIONS /api/score/ -> 200
2025-12-09 17:39:45 | INFO     | mining_design | log_api_request:85 | POST /api/score/ -> 200 (30ms)
2025-12-09 17:39:46 | INFO     | mining_design | log_api_request:85 | GET /api/geology/layers -> 200 (124ms)
2025-12-09 17:41:16 | INFO     | mining_design | log_api_request:85 | GET /api/boreholes/ -> 200 (7ms)
2025-12-09 17:41:16 | INFO     | mining_design | log_api_request:85 | GET /api/boundary/ -> 200 (8ms)
2025-12-09 17:41:16 | INFO     | mining_design | log_api_request:85 | POST /api/score/ -> 200 (23ms)
2025-12-09 17:41:16 | INFO     | mining_design | log_api_request:85 | GET /api/geology/layers -> 200 (128ms)
